Model,Class,Precision,Recall,F1-Score,Support,Accuracy,Confusion_Matrix_Path,Accuracy_Plot_Path
KNN,Iris-setosa,1.0,1.0,1.0,10.0,0.9333333333333333,results/KNN_confusion_matrix.png,results/KNN_accuracy.png
KNN,Iris-versicolor,0.8333333333333334,1.0,0.9090909090909091,10.0,0.9333333333333333,results/KNN_confusion_matrix.png,results/KNN_accuracy.png
KNN,Iris-virginica,1.0,0.8,0.8888888888888888,10.0,0.9333333333333333,results/KNN_confusion_matrix.png,results/KNN_accuracy.png
KNN,macro avg,0.9444444444444445,0.9333333333333332,0.9326599326599326,30.0,0.9333333333333333,results/KNN_confusion_matrix.png,results/KNN_accuracy.png
KNN,weighted avg,0.9444444444444445,0.9333333333333333,0.9326599326599326,30.0,0.9333333333333333,results/KNN_confusion_matrix.png,results/KNN_accuracy.png
Naive Bayes,Iris-setosa,1.0,1.0,1.0,10.0,0.9666666666666667,results/Naive Bayes_confusion_matrix.png,results/Naive Bayes_accuracy.png
Naive Bayes,Iris-versicolor,1.0,0.9,0.9473684210526315,10.0,0.9666666666666667,results/Naive Bayes_confusion_matrix.png,results/Naive Bayes_accuracy.png
Naive Bayes,Iris-virginica,0.9090909090909091,1.0,0.9523809523809523,10.0,0.9666666666666667,results/Naive Bayes_confusion_matrix.png,results/Naive Bayes_accuracy.png
Naive Bayes,macro avg,0.9696969696969697,0.9666666666666667,0.9665831244778612,30.0,0.9666666666666667,results/Naive Bayes_confusion_matrix.png,results/Naive Bayes_accuracy.png
Naive Bayes,weighted avg,0.9696969696969696,0.9666666666666667,0.9665831244778613,30.0,0.9666666666666667,results/Naive Bayes_confusion_matrix.png,results/Naive Bayes_accuracy.png
SVM,Iris-setosa,1.0,1.0,1.0,10.0,1.0,results/SVM_confusion_matrix.png,results/SVM_accuracy.png
SVM,Iris-versicolor,1.0,1.0,1.0,10.0,1.0,results/SVM_confusion_matrix.png,results/SVM_accuracy.png
SVM,Iris-virginica,1.0,1.0,1.0,10.0,1.0,results/SVM_confusion_matrix.png,results/SVM_accuracy.png
SVM,macro avg,1.0,1.0,1.0,30.0,1.0,results/SVM_confusion_matrix.png,results/SVM_accuracy.png
SVM,weighted avg,1.0,1.0,1.0,30.0,1.0,results/SVM_confusion_matrix.png,results/SVM_accuracy.png
Random Forest,Iris-setosa,1.0,1.0,1.0,10.0,0.9,results/Random Forest_confusion_matrix.png,results/Random Forest_accuracy.png
Random Forest,Iris-versicolor,0.8181818181818182,0.9,0.8571428571428571,10.0,0.9,results/Random Forest_confusion_matrix.png,results/Random Forest_accuracy.png
Random Forest,Iris-virginica,0.8888888888888888,0.8,0.8421052631578947,10.0,0.9,results/Random Forest_confusion_matrix.png,results/Random Forest_accuracy.png
Random Forest,macro avg,0.9023569023569024,0.9,0.899749373433584,30.0,0.9,results/Random Forest_confusion_matrix.png,results/Random Forest_accuracy.png
Random Forest,weighted avg,0.9023569023569024,0.9,0.8997493734335839,30.0,0.9,results/Random Forest_confusion_matrix.png,results/Random Forest_accuracy.png
